## Torsion are defined with the following atomIDs:
# dihed1: ai= 1637 aj= 1639 ak= 1638 al= 1633
# dihed2: ai= 1639 aj= 1638 ak= 1633 al= 1634
# Frame#   dihed1   dihed2
1114  -69.879 -163.448
1115  -78.978 -179.678
1116  -59.539 -174.902
1117  -71.003 -166.168
1118  -66.563 -173.929
1119  -64.239  176.539
1120  -55.391   79.427
1121  -63.342   60.167
1122  -69.223   67.995
1123  -70.705  -41.188
1124  -59.827  -50.509
1125  -61.454  -59.648
1126  -56.474  -83.321
1127  -67.326  -65.143
1128  -59.529  -58.550
1129  -63.902  -50.926
1130  -59.221  -61.412
1131  -66.094  -75.175
1132  -51.576  -48.792
1133  -60.075  -44.418
1134  -79.289  -38.240
1135  -66.227  -65.646
1136  -60.343  -71.187
1137  -67.826  -56.387
1138  -42.892  -43.437
1139  -61.235  -57.716
1140  -72.659  -59.488
1141  -64.066  -48.269
1142  -66.592  -52.357
1143  -64.791  -60.451
1144  -68.655  -65.617
1145  -68.742  -53.127
1146  -66.022  -54.518
1147  -66.940  -55.281
1148  -68.464  -46.797
1149  -63.651  -49.889
1150  -79.907  -38.764
1151  -72.157  -73.142
1152  -73.292  -64.488
1153  -71.953  -69.456
1154  -77.150  -64.533
1155  -62.484  -55.769
1156  -62.853  -54.989
1157  -59.760  -69.702
1158  -62.003  -59.460
1159  -67.849  -68.752
1160  -81.503  -68.470
1161  -69.060  -56.746
1162  -73.854  -70.696
1163  -53.485  -68.947
1164  -68.872  -58.487
1165  -62.562  -61.880
1166  -61.894  -66.804
1167  -67.785  -70.548
1168  -61.622  -70.712
1169  -72.430  -67.940
1170  -69.324  -71.706
1171  -64.557  -58.889
1172  -66.765  -51.431
1173  -58.271  -58.142
1174  -69.636  -48.020
1175  -51.982  -44.688
1176  -68.168  -61.429
1177  -55.119  -61.243
1178  -64.400  -58.786
1179  -74.980  -61.621
1180  -68.339  -40.698
1181  -74.979 -166.183
1182  -58.874  179.689
1183  -73.560 -172.306
1184  -66.926 -179.549
1185  -67.504  173.308
1186  -68.221  168.977
1187  -63.681 -174.663
